followers,followees,numberOfPosts,imagePorcentage,sidecarPorcentage,videoPorcentage,isBusiness,isProfessional,hasLink,hideLikes,avgLikes,varLikes,avgComments,varComments,avgScore,varScore,avgTechScore,varTechScore,avgPhotosInSidecar,varPhotosInSidecar,avgTaggedUsers,varTaggedUsers,avgHeight,varHeight,avgWidth,varWidth,useLocation,isAccesible,cLength,cSubjectivity,cPolarity,cDifficultWords,cSecondsToRead,cEntropy,captionLength,captionSubjectivity,captionPolarity,captionDifficultWords,captionSecondsToRead,captionEntropy,captionAvgHashtags,captionVarHashtags,Photographer
2151,825,109,2.94,85.29,11.76,False,True,True,True,130.4,3540.84,8.0,49.6,5.423,0.148,5.131,0.419,5,7.099,0.267,0.329,1245.033,58028.299,1069.0,58028.299,True,False,24.674,0,0,1.585,1.08,3.617,360.5,1,0,18.967,14.715,4.362,13.267,200.529,True
51,17,17,82.35,17.65,0.0,False,True,False,False,3.588,13.301,0.0,0.0,4.589,0.298,5.561,0.174,3,0.222,0.824,0.851,795.0,41070.0,1080.0,41070.0,False,True,0,0,0,0,0,0,14.667,0,0,0.667,0.66,2.559,0.667,0.889,False
345,130,113,3.03,87.88,9.09,True,True,False,False,12.033,25.166,1.7,3.343,5.444,0.105,5.705,0.24,4,2.942,2.133,0.716,1149.6,109295.707,1080.0,109295.707,False,False,29.0,0,0,1.569,1.239,3.922,70.967,0,0,3.9,3.054,3.942,6.333,6.822,True
95,1,61,2.5,75.0,22.5,True,True,False,False,20.667,67.689,2.4,8.24,5.356,0.164,5.408,0.416,2,0.033,1.167,0.139,1248.6,16459.64,1080.0,16459.64,True,False,22.103,0,0,1.588,0.955,3.71,233.433,1,0,5.567,9.134,4.424,11.7,23.61,True
1221,1486,557,22.03,28.81,49.15,False,True,True,True,57.167,966.339,4.3,24.41,5.099,0.159,5.389,0.186,5,8.415,3.0,8.467,1031.3,94442.21,1080.0,94442.21,True,True,68.054,0,0,3.605,2.893,3.829,143.3,0,0,6.1,5.639,4.149,0.1,0.09,False
78,364,57,96.77,0.0,3.23,False,False,True,False,14.967,43.966,3.433,11.246,5.149,0.157,5.483,0.146,0,0,0.567,0.512,1066.5,19561.517,1080.0,19561.517,True,True,40.55,0,0,2.01,1.687,4.004,400.533,1,0,23.367,16.708,4.398,28.433,33.446,False
2160,592,2103,55.81,13.95,30.23,False,False,False,False,76.9,944.69,3.867,14.449,5.295,0.146,5.12,0.265,4,0.139,2.133,4.649,909.133,55801.382,1080.0,55801.382,True,True,46.741,0,0,1.595,1.881,3.888,438.3,0,0,21.733,18.022,4.396,25.533,4.049,False
1143,261,459,6.45,90.32,3.23,False,False,True,False,193.733,1661.729,2.167,4.672,5.41,0.155,5.646,0.236,9,2.301,0.133,0.116,902.467,44955.316,1080.0,44955.316,True,False,43.0,0,0,1.877,1.766,3.892,290.033,0,0,14.233,12.236,4.346,11.133,75.249,False
125,437,105,66.67,33.33,0.0,False,False,False,False,17.967,40.766,1.533,4.049,5.098,0.102,4.962,0.189,3,4.2,0.0,0.0,1324.8,9668.16,1080.0,9668.16,True,True,35.587,0,0,1.652,1.453,3.954,176.9,0,0,8.767,7.401,4.363,9.667,1.222,False
308,879,73,36.67,63.33,0.0,False,False,False,False,35.533,169.449,1.733,5.929,5.395,0.16,5.129,0.3,5,4.238,0.133,0.182,940.1,44080.29,1080.0,44080.29,False,True,21.962,0,0,1.519,0.948,3.905,292.567,0,0,17.1,13.057,4.397,20.433,47.179,False
502,91,87,13.33,86.67,0.0,True,True,True,False,40.333,389.556,1.267,1.996,4.689,0.223,5.174,0.404,2,0.226,0.5,0.383,1080.0,0.0,1080.0,0.0,True,False,20.895,0,0,1.342,0.921,3.602,256.833,0,0,14.133,10.553,4.62,15.3,3.477,False
1682,2777,318,88.24,0.0,11.76,False,True,True,False,55.733,935.862,5.467,30.982,5.539,0.131,4.753,0.34,0,0,0.0,0.0,895.0,51074.333,1080.0,51074.333,True,True,25.276,1,0,1.263,1.057,3.624,521.2,0,0,27.233,22.258,4.502,26.067,22.729,True
30,4,8,12.5,50.0,37.5,False,False,False,False,12.4,11.84,1.0,0.4,5.027,0.208,4.994,0.152,2,0.188,0.0,0.0,1349.2,0.16,1080.0,0.16,True,True,50.8,0,0,1.6,2.03,3.83,123.2,0,0,5.8,4.972,4.526,6.6,1.04,False
940,921,1083,50.0,50.0,0.0,False,True,False,False,72.567,172.712,1.133,3.116,5.136,0.141,5.675,0.36,4,1.973,0.133,0.116,1257.967,43654.566,1080.0,43654.566,True,True,27.118,0,0,1.294,1.136,3.519,167.167,0,0,6.333,6.902,4.298,12.6,18.573,True
1913,1956,5803,100.0,0.0,0.0,True,True,True,False,4.367,3.632,0.233,0.312,5.059,0.106,5.995,0.119,0,0,0.0,0.0,1013.633,90946.966,1010.333,90946.966,True,False,15.143,0,0,1.286,0.673,3.763,711.8,1,1,37.8,30.044,4.701,27.6,9.44,False
693,468,154,30.3,60.61,9.09,True,True,True,True,190.6,13154.573,15.9,85.757,5.563,0.261,5.003,0.205,4,5.05,8.967,28.899,1169.033,35429.166,1080.0,35429.166,True,True,73.444,0,0,3.605,3.032,4.092,791.833,0,0,24.767,31.294,4.627,10.267,153.262,True
213,114,110,90.0,10.0,0.0,False,True,False,False,22.6,690.373,2.367,7.566,5.262,0.181,4.788,0.201,4,2.889,0.1,0.09,873.967,70336.899,1080.0,70336.899,True,True,28.271,0,0,1.529,1.193,4.027,346.1,0,0,17.1,14.282,4.395,20.5,55.983,True
532,183,272,23.33,76.67,0.0,True,True,True,False,11.933,20.529,0.9,0.89,5.344,0.242,5.254,0.305,4,5.781,1.067,3.329,1049.233,83803.979,1069.0,83803.979,True,False,59.222,0,0,3.519,2.526,4.048,12.962,0,0,0.615,0.564,2.806,0.0,0.0,False
218,95,165,42.59,12.96,44.44,False,True,True,True,139.767,1411.512,4.6,9.773,4.562,0.14,4.866,0.838,2,0.531,3.6,1.573,1229.433,48343.112,1080.0,48343.112,True,True,35.706,0,0,1.934,1.499,4.119,505.233,0,1,22.6,20.379,4.467,29.967,0.032,False
362,1566,2789,30.0,70.0,0.0,False,False,False,False,40.733,1160.196,0.2,0.627,4.797,0.261,5.442,0.115,3,0.98,0.0,0.0,800.933,33055.862,1080.0,33055.862,False,False,72.167,0,0,1.833,2.845,3.877,319.067,0,1,6.033,12.305,4.413,13.467,4.249,False
268,145,69,26.67,73.33,0.0,True,True,True,False,15.2,24.56,0.633,1.166,5.414,0.094,5.33,0.377,6,7.81,0.2,0.56,992.9,97305.823,1080.0,97305.823,True,False,36.684,0,0,2.158,1.539,4.089,214.533,0,0,7.233,8.415,4.237,4.7,9.877,True
648,568,386,90.62,3.12,6.25,False,True,True,False,19.233,42.112,0.733,2.396,5.395,0.087,5.14,0.178,3,0.0,0.0,0.0,988.067,106715.929,1080.0,106715.929,True,True,43.773,0,0,1.773,1.781,3.954,180.32,0,0,11.64,8.336,4.078,13.24,55.942,True
1664,999,915,40.62,53.12,6.25,True,True,False,False,0.286,0.204,3.8,12.36,5.305,0.455,5.839,0.288,3,0.997,1.667,5.422,1259.333,15373.889,1080.0,15373.889,True,False,38.535,0,0,1.807,1.599,3.928,444.381,0,0,26.143,17.93,4.564,24.238,20.562,True
